objectid,title,format,filename
item1,The Cataract House,image/jpeg,cattaracthouse.JPEG
item2,Railway House,image/jpeg,railwayhouse.JPEG
item3,William Pawling,image/jpeg,cherubsuitcase.JPEG
item4,The Great Cheapside,image/jpeg,tradclothing.JPEG
item5,Bristol's Sarsaparilla,image/jpeg,eaglesasparilla.JPEG
item6,Grover and Baker's Sewing Machines,image/jpeg,sowingmachines.JPEG
item7,Saskatchewan Homstead Company,image/jpeg,homestead.JPEG
item8,WM.N. Braund's,image/jpeg,stoves.JPEG
item9,"Prof. G. Lorraine Linder, Phrenological Examinations",image/jpeg,knowthyself.JPEG
item10,Canadian Pacific Railway,image/jpeg,farmerswanted.JPEG
item11,Star Music Store,image/jpeg,cats.JPEG
item12,Thomas Cowan,image/jpeg,shoes.JPEG
item13,James D. Tait's,image/jpeg,bison.JPEG
item14,Harris & Berston,image/jpeg,nativeamerican.JPEG
item15,Mutual Fire Insurance Co.,image/jpeg,mutualfire.JPEG
